TMI,LHA,ERV,SBK,MAN,TMI,Not feasible
RVE,OKB,WAW,X07,BGO,RVE,Not feasible
WNR,JLD,SFG,KKW,PCB,WNR,Not feasible
NLT,BXB,MDL,WEI,GER,NLT,Not feasible
GSS,YHZ,SSB,KTP,OIT,GSS,Not feasible
ERC,RNI,ADH,AUR,ORN,ERC,Not feasible
MFQ,YLL,EGX,ZDY,DNH,MFQ,Not feasible
SJE,HER,GPT,TKE,KSL,SJE,Not feasible
OMC,IGQ,PIE,COK,YQI,OMC,Not feasible
BOD,LYT,MIK,SRE,KDU,BOD,Not feasible
AWK,PJM,YYN,EPM,KGS,AWK,Not feasible
TOL,KHT,KZB,BAV,MVY,TOL,Not feasible
CDU,BKW,TRO,YEV,VST,CDU,Not feasible
KOT,CAJ,MZB,OPS,YPH,KOT,Not feasible
BWU,IXW,BDU,OES,VSG,BWU,Not feasible
KLO,SKT,YSP,NYU,EBB,KLO,Not feasible
1G4,SIG,CAH,OBX,SFM,1G4,Not feasible
MES,DIN,LKG,ZJI,BDB,MES,Not feasible
LTA,DLZ,YZZ,PIH,KGJ,LTA,Not feasible
ESK,OLM,SAF,LEJ,JOL,ESK,Not feasible
UKU,NKM,MYQ,PZU,ABN,UKU,Not feasible
CNM,LDY,TOL,IPA,PNS,CNM,Not feasible
TAG,UIO,ISO,FOR,TPI,TAG,Not feasible
BWT,LCE,NQN,BYM,PEW,BWT,Not feasible
YFC,LFK,YXL,MTL,LYT,YFC,Not feasible
VDB,FNI,GRW,JPA,LDU,VDB,Not feasible
ENV,NLK,ASH,ALU,BPT,ENV,Not feasible
SDJ,LEX,HDG,RUH,ZWI,SDJ,Not feasible
AQA,ROW,YBB,BEI,OXD,AQA,Not feasible
JDR,TSV,SPP,MLD,UAB,JDR,Not feasible
RIN,LXG,VSG,MJD,KAD,RIN,Not feasible
ARU,GPZ,YTE,OIT,AYK,ARU,Not feasible
TEK,BIX,JTC,ZPH,DPS,TEK,Not feasible
KBU,RIF,BTO,YQQ,PFB,KBU,Not feasible
SEE,GZP,TLE,ISA,PTZ,SEE,Not feasible
LPI,PWQ,24C,NCE,BJX,LPI,Not feasible
DHG,YYG,RAS,DMM,AUH,DHG,Not feasible
NF4,KIT,KRY,CEQ,LNV,NF4,Not feasible
MYI,AKN,HRE,WCH,KMQ,MYI,Not feasible
PLW,EIA,YSP,CHC,LWR,PLW,Not feasible
CPX,ROA,TZX,KLL,SMI,CPX,Not feasible
RGO,ALO,ESE,BHM,HPB,RGO,Not feasible
LTD,AHE,PFQ,UNT,CTB,LTD,Not feasible
RLK,CIK,BAZ,HVB,GBZ,RLK,Not feasible
IMF,SCQ,MNK,HOR,MSN,IMF,Not feasible
AGB,JOS,ANV,PID,MJD,AGB,Not feasible
SIM,MLX,IOA,BOH,BHI,SIM,Not feasible
BKL,MIJ,YQN,SLY,TIY,BKL,Not feasible
